strength_bars,normalized_string,skill,last_practiced,strength,word_string
1,Fen ,Time 2,2023-11-12T09:46:54Z,0.050652,分
4,Zhong Wu ,Time 2,2023-11-12T09:46:54Z,0.997302,中午
4,Zhou Mo ,Time 2,2023-11-11T22:08:12Z,0.997099,周末
3,Shang ,Time 2,2023-11-11T22:08:12Z,0.697824,上
4,Niu Yue ,Location 1,2023-11-11T22:08:12Z,0.997099,纽约
4,Mang ,Greeting 3,2023-11-10T20:05:34Z,0.996588,忙
4,Xia Wu ,Time 2,2023-11-09T12:46:22Z,0.995853,下午
3,Shang Wu ,Time 2,2023-11-09T12:46:22Z,0.518181,上午
4,Fei Chang ,People 1,2023-11-06T11:29:47Z,0.99346,非常
4,Zao Shang ,Greeting 3,2023-10-31T11:31:37Z,0.98407,早上
4,Ka Pei ,Drink,2023-10-31T11:31:37Z,0.98407,咖啡
4,He ,Food 1,2023-10-31T11:31:37Z,0.98407,喝
4,Bai ,Numbers,2023-10-30T19:18:34Z,0.9824,百
4,Bei Jing ,Location 1,2023-10-27T10:55:22Z,0.971243,北京
4,Qi Zi ,Family 2,2023-10-27T10:55:22Z,0.971243,妻子
2,Qu Nian ,Time 2,2023-10-21T21:23:42Z,0.376783,去年
4,Zhu ,Location 1,2023-10-21T21:23:42Z,0.936144,住
4,Wu ,Numbers,2023-10-21T21:23:42Z,0.936144,五
4,Jin Nian ,Time 2,2023-10-21T21:23:42Z,0.936144,今年
4,Ming Nian ,Time 2,2023-10-21T21:23:42Z,0.936144,明年
4,Nan ,People 1,2023-10-21T21:23:42Z,0.936144,男
4,Na Er ,Location 1,2023-10-21T21:23:42Z,0.936144,哪儿
4,Liao ,Time 2,2023-10-21T21:23:42Z,0.936144,了
4,Na ,Family 1,2023-10-17T12:39:09Z,0.883963,那
4,Ge Ge ,Family 1,2023-10-16T21:15:15Z,0.87372,哥哥
4,Gao Xing ,Greeting 2,2023-10-16T21:15:15Z,0.87372,高兴
4,Nu Er ,Family 2,2023-10-15T17:03:45Z,0.852967,女儿
2,Wei ,Telephone,2023-10-07T21:18:39Z,0.492006,喂
4,Xue Xiao ,Location 3,2023-10-05T19:05:23Z,0.830968,学校
4,Zou ,Location 3,2023-10-05T19:05:23Z,0.830968,走
4,Fan Guan ,Location 2,2023-10-05T19:05:23Z,0.830968,饭馆
4,Qing Wen ,Phrases 2,2023-10-05T19:05:23Z,0.830968,请问
3,Dao ,Location 3,2023-10-05T19:05:23Z,0.567273,到
4,Ren Shi ,Greeting 2,2023-10-05T19:05:23Z,0.830968,认识
3,Lu ,Location 3,2023-10-05T19:05:23Z,0.567273,路
4,Zen Yao ,Location 3,2023-10-05T19:05:23Z,0.830968,怎么
4,Zhong Guo ,Nationality,2023-10-05T19:05:23Z,0.830968,中国
4,Yi Yuan ,Location 2,2023-10-05T19:05:23Z,0.803883,医院
4,Jie Jie ,Family 1,2023-09-30T22:43:03Z,0.820837,姐姐
4,Ye ,Greeting 2,2023-09-30T17:10:53Z,0.820358,也
1,Gao ,People 1,2023-09-30T17:10:53Z,0.004922,高
3,Di Di ,Family 1,2023-09-29T17:14:53Z,0.614121,弟弟
3,Ai ,People 1,2023-09-29T17:14:53Z,0.620345,矮
1,Ta ,Family 2,2023-09-25T19:34:36Z,0.008768,它
3,Zhang Fu ,Family 2,2023-09-24T12:02:07Z,0.516942,丈夫
4,Ren ,Nationality,2023-09-24T12:02:07Z,0.807563,人
4,Mei Guo ,Nationality,2023-09-24T12:02:07Z,0.807563,美国
1,Sui ,Family 2,2023-09-21T14:51:50Z,0.024309,岁
1,Liang ,Family 2,2023-09-14T15:40:11Z,0.052122,两
4,San ,Numbers,2023-09-14T15:40:11Z,0.787691,三
4,Yuan ,Numbers,2023-09-06T17:06:01Z,0.772027,元
4,Cha ,Food 1,2023-08-30T19:18:27Z,0.758652,茶
3,Duo Shao ,Contact,2023-08-22T11:22:00Z,0.742831,多少
3,Hao Ma ,Contact,2023-08-22T11:22:00Z,0.742831,号码
3,Bing ,Drink,2023-08-03T19:56:38Z,0.708612,冰
3,Shui ,Food 1,2023-08-03T19:56:38Z,0.708612,水
3,Re ,Drink,2023-08-03T19:56:38Z,0.708612,热
3,Ta Men ,Occupation,2023-08-03T19:56:38Z,0.708612,她们
3,Yao ,Drink,2023-08-03T19:56:38Z,0.708612,要
3,Mei Mei ,Family 1,2023-08-03T19:53:52Z,0.708608,妹妹
3,Wan An ,Greeting 4,2023-07-31T20:51:46Z,0.703323,晚安
3,[?] Hui Er ,Greeting 4,2023-07-20T20:55:09Z,0.684025,一会儿
3,Zao An ,Greeting 4,2023-07-20T20:55:09Z,0.684025,早安
3,Hao Jiu Bu Jian ,Greeting 4,2023-07-20T20:55:09Z,0.569869,好久不见
3,Zui Jin ,Greeting 4,2023-07-20T20:55:09Z,0.684025,最近
3,Bu Cuo ,Greeting 4,2023-07-20T20:55:09Z,0.680655,不错
2,Zen Yao Yang ,Greeting 3,2023-07-20T07:46:39Z,0.27664,怎么样
3,Ci ,Phrases 2,2023-07-15T22:10:12Z,0.672079,次
1,Wen ,Phrases 2,2023-07-15T22:10:12Z,1e-06,问
3,Zai ,Phrases 2,2023-07-15T22:10:12Z,0.672079,再
3,Zhi Dao ,Phrases 2,2023-07-15T22:10:12Z,0.559404,知道
3,Bang Zhu ,Phrases 2,2023-07-15T22:10:12Z,0.675517,帮助
3,Xing ,Name,2023-07-12T16:54:42Z,0.670038,姓
3,Zhang ,Name,2023-07-12T16:54:42Z,0.670038,张
3,Jiao ,Name,2023-07-12T16:54:42Z,0.670038,叫
3,Wang ,Name,2023-07-12T16:54:42Z,0.670038,王
3,Hua ,Name,2023-07-12T16:54:42Z,0.670038,华
3,Ni ,Name,2023-07-12T16:54:42Z,0.670038,呢
3,Ying Guo ,Nationality,2023-07-10T19:58:19Z,0.666871,英国
3,Yu ,Food 1,2023-07-03T07:46:05Z,0.654324,鱼
3,Jia Na Da ,Nationality,2023-06-30T21:22:41Z,0.535839,加拿大
3,Mei Guan Xi ,Phrases 1,2023-06-29T21:08:43Z,0.587276,没关系
3,Xie Xie ,Phrases 1,2023-06-29T21:08:43Z,0.64865,谢谢
2,Xiang Gang ,Location 1,2023-06-29T21:04:51Z,0.356771,香港
1,Lun Dun ,Location 1,2023-06-29T21:04:51Z,0.136215,伦敦
3,Tai Wan ,Location 1,2023-06-29T21:04:51Z,0.648646,台湾
3,Bu Ke Qi ,Phrases 1,2023-06-19T21:18:24Z,0.632458,不客气
2,Guo ,Nationality,2023-05-20T21:44:33Z,0.32558,国
2,Na ,Nationality,2023-05-20T21:44:33Z,0.32558,哪
3,Dui ,Nationality,2023-05-14T21:03:08Z,0.577389,对
